timestamp,machine_id,machine_name,manufacturer,temperature,vibration,pressure_in,pressure_out,power_kw,runtime_hours,failure,failure_reason,maintenance_done,maintenance_comments
2024-07-01,M001,Compressor,GE,79.96714153011233,0.4861735698828815,53.23844269050346,52.61514928204013,97.65846625276664,15,0,Leak,0,Checked pressure
2024-07-02,M001,Compressor,GE,72.6586304305082,0.5079831812215705,49.20241749171463,45.11110913305991,95.72207086396655,14,0,None,0,Replaced filter
2024-07-03,M001,Compressor,GE,60.236703068453984,0.64869809580472,49.87772411252967,46.77775658561216,104.17011109663176,13,0,None,1,None
2024-07-04,M001,Compressor,GE,83.32461857121156,0.4399361310081195,48.54153125103362,41.991466938853016,118.52278184508938,11,0,None,0,Lubricated parts
2024-07-05,M001,Compressor,GE,80.66112826781041,0.42955465496234096,43.11030348088759,43.23441673996466,95.38534281825817,22,0,None,1,Lubricated parts
2024-07-06,M001,Compressor,GE,75.66657278508625,0.39909146571348925,42.08352893231556,48.86850208416841,94.6185833833704,17,0,None,0,None
2024-07-07,M001,Compressor,GE,68.23077999694041,0.5611676288840868,55.154997612479754,49.65640059558099,91.60782476777362,11,0,Wear,0,Lubricated parts
2024-07-08,M001,Compressor,GE,71.90787624148786,0.6212172342133127,56.167484022715286,37.12922356527973,106.3795294322489,7,0,Overheat,0,Checked pressure
2024-07-09,M001,Compressor,GE,89.95434252883473,0.5338181251993319,66.86148126813336,40.39804597466312,96.013616099848,17,0,None,0,Lubricated parts
2024-07-10,M001,Compressor,GE,74.39135912525254,0.4217952173700161,52.11971534895467,49.363525489952586,122.87225982957293,8,0,Wear,0,None
2024-07-11,M001,Compressor,GE,60.33032114820474,0.5892629471506162,49.4737143299941,40.223267776411475,95.85235365594534,15,0,Overheat,0,None
2024-07-12,M001,Compressor,GE,61.012591183941424,0.5849921204062349,43.443378871244455,40.64847522719463,94.93356780368477,13,0,None,0,Replaced filter
2024-07-13,M001,Compressor,GE,70.16877321248707,0.44301716516015965,39.54200165156368,51.318702653831934,99.8451665998822,16,0,Wear,0,Replaced filter
2024-07-14,M001,Compressor,GE,74.72623554414841,0.5102347682549667,47.836953597259935,41.70408848781761,100.03937304431403,9,0,None,0,Lubricated parts
2024-07-15,M001,Compressor,GE,94.65034763925465,0.3060088781396757,46.18686517892424,45.84329693596647,86.78123049366562,10,0,None,0,Lubricated parts
2024-07-16,M001,Compressor,GE,68.31753300867588,0.40094636748693113,47.16851135198614,45.498256825438204,94.965243458838,8,0,Wear,0,Checked pressure
